apellido,as,autoestima,codigo,cpr,creado,domestica,educacion,etapas,genero,hogar,inmigracion,nombre,phone,recaudacion,salud,sana,t1,trabajos,universidad
lapizlopez,false,false,94612,false,Fri Oct 26 2018 00:11:10 GMT-0300 (Chile Summer Time),false,false,false,M,false,false,josefe,12345667,false,true,true,46-55,false,true
Miapellido,false,false,94612,true,Fri Oct 26 2018 00:13:10 GMT-0300 (Chile Summer Time),false,false,false,M,true,false,MiNombre,12345677,true,false,false,36-45,false,false
Nuevoapellido,false,false,90220,false,Fri Oct 26 2018 01:22:28 GMT-0300 (Chile Summer Time),false,true,false,,true,false,Nuevonombre,,false,true,false,36-45,false,false
,false,false,,false,Fri Oct 26 2018 07:08:04 GMT-0300 (Chile Summer Time),false,false,true,,false,false,,,false,false,false,,false,false
,AS,autoestima,,CPR,1540598033584,domestica,educacion,etapas,,hogar,inmigracion,,,recaudacion,salud,undefined,,trabajos,universidad
,AS,autoestima,,CPR,1540598036559,domestica,educacion,etapas,,hogar,inmigracion,,,recaudacion,salud,undefined,,trabajos,universidad
Ramirez,AS,autoestima,94112,CPR,1540605286629,domestica,educacion,etapas,mujer,hogar,inmigracion,luli,4158974398,recaudacion,salud,undefined,76-a más,trabajos,universidad
Ramirez,AS,autoestima,94112,CPR,1540605290859,domestica,educacion,etapas,mujer,hogar,inmigracion,luli,4158974398,recaudacion,salud,undefined,76-a más,trabajos,universidad
chen,false,false,94116,false,Tue Oct 30 2018 13:49:41 GMT-0700 (Pacific Daylight Time),false,true,false,mujer,true,false,luri,4157139783,false,false,true,18-25,false,false
chen,true,false,94116,true,Tue Oct 30 2018 13:52:17 GMT-0700 (Pacific Daylight Time),false,true,false,mujer,false,false,luri,5290060658,false,false,false,26-35,false,false
herwrg,true,false,94116,false,Tue Oct 30 2018 13:56:02 GMT-0700 (Pacific Daylight Time),true,true,false,erhtrge,false,false,her43,6576883,false,false,false,26-35,false,false
reboyoso,false,true,94112,false,Tue Oct 30 2018 14:06:43 GMT-0700 (Pacific Daylight Time),false,false,false,mujer,false,true,luli,415 756 0100,true,false,false,46-55,false,false
